Season,Name,Position,Team,Conference,AveragePPA All,AveragePPA Pass,AveragePPA Rush,AveragePPA FirstDown,AveragePPA SecondDown,AveragePPA ThirdDown,AveragePPA StandardDowns,AveragePPA PassingDowns,TotalPPA All,TotalPPA Pass,TotalPPA Rush,TotalPPA FirstDown,TotalPPA SecondDown,TotalPPA ThirdDown,TotalPPA StandardDowns,TotalPPA PassingDowns,Overall Pick,Combine Participation
2023,Richard Newton,RB,Washington,PAC,-0.235,-0.067,-0.235,-0.235,-0.224,0.005,-0.235,-0.082,-0.235,0,-0.235,-0.235,0,0,-0.235,0,300,0
2023,Jack Westover,TE,Washington,PAC,0.756,0.722,1.542,0.501,0.76,1.049,0.824,0.519,37.028,33.943,3.085,11.521,11.397,9.444,31.314,5.714,300,0
2023,Devin Culp,TE,Washington,PAC,0.892,0.892,-0.144,0.806,-0.05,2.121,0.847,0.958,17.831,17.831,0,7.253,-0.251,10.607,10.166,7.666,246,1
2023,Andre Hunt,WR,Jackson State,SWAC,0.517,0.551,0.416,1.584,-0.012,-0.291,0.762,-0.217,4.136,3.303,0.832,4.752,-0.035,-0.581,4.571,-0.435,300,0
2023,Layne Hatcher,QB,Ball State,MAC,0.104,0.072,0.365,-0.163,0.537,0.315,0.108,0.098,9.532,5.88,3.651,-6.204,13.973,7.238,5.606,3.926,300,0
2023,Drake Anderson,RB,Akron,MAC,-0.135,-0.061,-0.169,-0.234,0.034,-0.195,-0.117,-0.171,-6.328,-0.92,-5.408,-4.917,0.539,-1.949,-3.755,-2.572,300,0
2023,Raymond Niro III,WR,Northwestern,Big Ten,1.72,1.72,1.252,1.339,1.9,1.919,1.629,1.9,5.159,5.159,0,1.339,1.9,1.919,3.259,1.9,300,0
2023,Charlie Mangieri,TE,Northwestern,Big Ten,0.519,0.597,0.05,0.74,-0.508,1.134,0.417,1.134,3.634,3.584,0.05,2.959,-0.508,1.134,2.501,1.134,300,0
2023,Thomas Pannunzio,WR,Central Michigan,MAC,0.343,0.272,0.651,0.248,-0.479,0.223,-0.117,0.804,5.495,3.542,1.953,1.739,-1.915,0.892,-0.939,6.433,300,0
2023,Erik Brooks,WR,Fresno State,Mountain West,0.958,0.958,0.059,0.698,0.956,1.214,0.826,1.235,59.381,59.381,0,17.441,19.121,17.002,34.689,24.692,300,0
