Season,Position,Position Group,Conference,Height (inches),Weight(lbs),Hand (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,FPI,Efficiencies Overall,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2023,WR,Skill,ACC,69.0,179,9.25,73.375,4.48,38.5,13,131.0,6.91,4.29,1,6.195,60.099,0,0,Rounds 2-3,0,0.2883370156254274,24,32.231404958677686,41.37931034482759
2023,IOL,OL,SEC,77.0,330,11.25,83.875,5.31,23.5,20,101.0,7.99,4.81,1,7.555,60.994,0,0,Rounds 2-3,0,0.28766598391538245,24,32.64462809917356,41.37931034482759
2023,C,OL,Big Ten,75.5,301,9.5,78.375,5.35,29.5,20,104.0,7.68,4.56,1,11.422,72.43,0,0,Rounds 2-3,0,0.2876082363326846,24,33.057851239669425,41.37931034482759
2024,IOL,OL,Pac-12,76.5,321,10.0,79.5,5.38,29.5,27,101.0,7.95,4.9,1,10.768,65.114,0,0,Undrafted,0,0.28755846855281775,24,33.47107438016529,41.37931034482759
2023,RB,Skill,SEC,71.625,210,9.5,76.625,4.56,32.5,20,119.0,7.23,4.68,1,6.205,55.022,0,0,Rounds 2-3,0,0.287388384282585,24,33.88429752066116,41.37931034482759
2025,WR,Skill,Big 12,72.625,186,10.5,76.625,4.7,33.0,14,121.0,7.02,4.97,1,6.204,57.272,1,0,Undrafted,0,0.2872959242017361,24,34.29752066115703,41.37931034482759
2024,WR,Skill,ACC,73.0,212,10.125,79.375,4.43,39.5,19,122.0,6.85,4.1,1,-0.369,43.622,0,0,Rounds 6-7,1,0.2869821112943575,25,34.710743801652896,43.103448275862064
2024,WR,Skill,SEC,70.0,181,9.125,72.75,4.43,35.5,14,124.0,7.0,4.35,1,0.859,45.573,0,0,Undrafted,0,0.2869468155362593,25,35.12396694214876,43.103448275862064
2024,DL,DL,ACC,75.5,303,9.0,80.625,5.12,30.0,27,109.0,7.81,4.75,1,11.169,68.436,0,0,Undrafted,0,0.28683548758596084,25,35.53719008264463,43.103448275862064
2025,DL,DL,Big 12,75.5,308,10.5,78.75,5.03,28.5,24,93.0,8.19,4.03,1,5.029,60.487,0,0,Undrafted,0,0.28642663030168547,25,35.9504132231405,43.103448275862064
2025,RB,Skill,Big Ten,69.5,205,9.5,73.75,4.55,37.18,33,115.6,7.03,4.03,1,21.125,85.854,1,0,Rounds 4-5,0,0.286298364172527,25,36.36363636363637,43.103448275862064
2023,WR,Skill,Big Ten,71.25,201,8.625,76.75,4.42,33.0,20,127.0,7.01,4.47,1,7.842,61.934,0,0,Undrafted,0,0.28602759761952046,25,36.77685950413223,43.103448275862064
2024,LB,LB,SEC,73.75,231,8.875,77.75,4.62,34.0,18,118.0,7.23,4.5,0,15.277,78.168,0,0,Rounds 2-3,0,0.28601963637893457,25,37.1900826446281,43.103448275862064
2023,CB,Secondary,SEC,73.75,207,8.5,74.125,4.36,33.5,15,122.0,6.89,4.3,1,29.908,93.511,0,0,Rounds 4-5,0,0.2854341667001268,25,37.60330578512397,43.103448275862064
2024,IOL,OL,MVFC,76.25,309,10.0,81.625,5.08,35.5,31,117.0,7.59,4.45,1,12.286,67.318,0,0,Rounds 4-5,0,0.2853942441752614,25,38.01652892561984,43.103448275862064
2025,CB,Secondary,CAA,73.25,209,9.5,78.125,4.56,32.92,11,124.0,6.65,4.97,1,10.737,66.313,0,0,Undrafted,0,0.2849281422157053,25,38.429752066115704,43.103448275862064
2023,DL,DL,SEC,77.625,310,9.5,80.875,4.88,31.0,22,110.0,7.5,4.73,1,7.555,60.994,0,0,Rounds 2-3,0,0.28474417703032523,25,38.84297520661157,43.103448275862064
2024,K,Special Teams,SEC,72.875,187,8.5,73.625,4.39,38.0,15,127.0,6.81,4.14,0,24.925,84.968,0,0,Rounds 6-7,1,0.284367117736969,26,39.25619834710744,44.827586206896555
2023,IOL,OL,Pac-12,76.0,303,10.125,81.25,5.01,32.5,20,114.0,7.31,4.45,1,8.553,65.594,0,0,Rounds 4-5,0,0.28386640992382317,26,39.66942148760331,44.827586206896555
2025,TE,Skill,Big 12,74.0,236,10.5,76.75,5.45,43.0,11,113.3,8.19,4.03,0,5.029,60.487,0,0,Undrafted,0,0.2835483144452233,26,40.082644628099175,44.827586206896555
2024,RB,Skill,Big Ten,68.5,229,9.0,69.625,4.56,36.0,22,119.0,7.25,4.26,0,27.485,89.569,1,0,Undrafted,0,0.28345632661963205,26,40.49586776859504,44.827586206896555
2023,RB,Skill,Sun Belt,73.375,217,9.75,78.625,4.61,37.0,20,121.0,6.85,4.33,1,0.411,45.95,0,0,Undrafted,0,0.28338697243000577,26,40.909090909090914,44.827586206896555
2025,WR,Skill,Big Ten,70.75,193,9.0,74.75,4.76,37.82,12,130.0,6.78,4.07,1,9.315,68.599,0,0,Rounds 6-7,1,0.28315214770183156,27,41.32231404958678,46.55172413793103
2025,WR,Skill,ACC,71.375,186,8.5,74.375,4.59,36.0,19,124.0,7.37,4.03,1,3.991,55.816,0,0,Rounds 6-7,1,0.28305795717393556,28,41.735537190082646,48.275862068965516
2023,IOL,OL,Pac-12,77.75,306,10.75,81.125,5.5,28.0,20,101.0,8.34,4.97,1,11.472,73.944,1,0,Undrafted,0,0.2828260275155357,28,42.14876033057851,48.275862068965516
2024,CB,Secondary,ACC,70.75,186,8.75,78.25,4.45,38.5,15,124.0,7.12,4.35,1,-0.369,43.622,0,0,Rounds 6-7,1,0.28246261167117503,29,42.561983471074385,50.0
2023,TE,Skill,SEC,76.0,242,9.5,79.125,4.67,35.5,21,120.0,7.36,4.32,0,27.296,89.526,1,0,Rounds 4-5,0,0.2820249635595526,29,42.97520661157025,50.0
2023,QB,Skill,Pac-12,73.625,203,9.875,74.75,4.56,32.5,20,121.0,7.28,4.44,1,8.553,65.594,0,0,Rounds 4-5,0,0.28171833582780553,29,43.388429752066116,50.0
2025,TE,Skill,SEC,77.0,241,9.75,79.5,4.84,30.0,33,129.3,7.15,4.4,1,26.107,88.25,0,0,Rounds 4-5,0,0.28169429778254146,29,43.80165289256198,50.0
2025,DL,DL,Big Ten,74.875,299,10.125,78.625,4.28,24.5,33,93.0,8.19,4.97,0,24.823,87.333,1,0,Rounds 4-5,0,0.28168526490340656,29,44.214876033057855,50.0
2025,WR,Skill,SEC,72.125,179,9.0,77.0,4.36,38.0,20,127.0,6.82,4.19,1,22.091,82.861,1,0,Rounds 4-5,0,0.28154400287204645,29,44.62809917355372,50.0
2024,IOL,OL,Big 12,76.5,313,10.75,84.0,4.99,34.0,30,114.0,7.58,4.54,1,9.511,59.244,0,0,Rounds 2-3,0,0.281395938132119,29,45.04132231404959,50.0
2025,DL,DL,SEC,75.25,319,9.5,81.25,5.14,27.0,28,108.0,7.68,4.97,1,8.19,65.787,0,0,Undrafted,0,0.28138432894752985,29,45.45454545454545,50.0
2025,LB,LB,Big Ten,76.625,239,9.0,82.375,4.28,43.0,33,123.2,7.59,4.2,0,3.857,55.405,0,0,Undrafted,0,0.2813426468208183,29,45.867768595041326,50.0
2023,K,Special Teams,SEC,72.0,194,9.125,74.375,4.58,34.0,20,121.0,7.27,4.44,0,29.908,93.511,0,0,Undrafted,0,0.28126685173311783,29,46.28099173553719,50.0
2023,OT,OL,Big 12,77.75,309,9.5,80.75,5.05,31.0,20,111.0,7.6,4.69,1,3.37,60.21,0,0,Undrafted,0,0.2810445996233736,29,46.69421487603306,50.0
2025,LB,LB,SEC,73.0,222,8.5,77.75,4.69,32.0,11,117.0,7.09,4.27,1,11.901,71.717,0,0,Rounds 4-5,0,0.2801335106298303,29,47.107438016528924,50.0
2024,RB,Skill,Big 12,67.375,202,9.75,70.75,4.61,33.5,22,116.0,6.87,4.23,1,9.511,59.244,0,0,Undrafted,0,0.2798407536184121,29,47.5206611570248,50.0
2024,TE,Skill,Mountain West,75.375,241,10.25,78.125,4.78,32.5,28,122.0,6.83,4.21,1,-11.774,30.563,0,0,Undrafted,0,0.27967379547811566,29,47.93388429752066,50.0
2024,QB,Skill,Big Ten,74.5,219,9.0,75.875,4.81,32.5,17,114.0,6.82,4.23,1,27.625,94.395,0,0,Round 1,0,0.2795372074440218,29,48.34710743801653,50.0
2023,IOL,OL,Pac-12,78.0,310,10.0,77.75,5.22,29.0,20,105.0,7.9,4.79,1,13.164,77.414,0,0,Rounds 6-7,1,0.27919270569800936,30,48.760330578512395,51.724137931034484
2024,LB,LB,Big Ten,71.375,233,8.5,78.0,4.62,34.5,18,119.0,7.26,4.63,0,27.625,94.395,0,0,Rounds 6-7,1,0.2789223870020366,31,49.17355371900827,53.44827586206896
2023,CB,Secondary,Big Ten,72.0,205,9.25,77.125,4.62,35.5,18,118.0,6.99,4.17,1,7.409,67.111,0,0,Undrafted,0,0.2782623373023307,31,49.586776859504134,53.44827586206896
2025,WR,Skill,Big Ten,74.125,205,9.75,78.5,4.57,32.0,12,123.0,7.04,4.54,1,21.125,85.854,1,0,Undrafted,0,0.2770390646310349,31,50.0,53.44827586206896
2025,S,Secondary,SEC,71.25,186,9.0,75.375,4.45,40.36,17,121.4,6.65,4.03,1,26.107,88.25,0,0,Rounds 2-3,0,0.27577327276145375,31,50.413223140495866,53.44827586206896
2023,TE,Skill,Pac-12,76.0,246,10.25,78.375,4.67,35.0,21,120.0,7.37,4.3,0,19.146,79.905,0,0,Round 1,0,0.27530674559032675,31,50.82644628099173,53.44827586206896
2025,TE,Skill,SEC,77.125,251,10.0,78.75,4.28,24.5,33,110.7,6.65,4.97,0,13.515,71.849,0,0,Rounds 2-3,0,0.2744062596909346,31,51.2396694214876,53.44827586206896
2023,QB,Skill,AAC,74.5,220,9.375,75.625,4.64,37.5,20,122.0,6.89,4.25,1,4.061,51.527,0,0,Rounds 4-5,0,0.27416615267841415,31,51.652892561983464,53.44827586206896
2024,RB,Skill,ACC,69.5,193,8.5,71.0,4.56,34.5,22,121.0,6.65,4.22,1,11.36,72.759,0,0,Rounds 6-7,1,0.2739780400035289,32,52.066115702479344,55.172413793103445
2023,WR,Skill,SEC,76.0,229,10.0,83.375,4.55,35.5,18,126.0,6.97,4.29,1,7.555,60.994,0,0,Rounds 4-5,0,0.27378279923486915,32,52.47933884297521,55.172413793103445
2025,EDGE,DL,Big 12,77.625,271,9.375,81.0,4.78,34.0,27,120.0,7.21,4.54,1,9.307,74.278,0,0,Undrafted,0,0.2737024016511982,32,52.892561983471076,55.172413793103445
