Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),3-Cone (seconds),Combine Participation,ELO,Efficiencies Overall,CFP Appearance,National Award,Actual,Predicted Probability
2024,S,Secondary,Georgia,SEC,70.0,202,9.25,31.625,4.46,36.0,18,6.99,1,2273,87.417,1,0,1,0.619626953835602
2024,LB,LB,North Carolina St.,ACC,75.875,233,9.0,30.5,4.43,34.5,18,7.29,1,1660,65.952,0,1,1,0.6493453113108331
2024,RB,Skill,Notre Dame,FBS Independent,71.375,221,10.25,32.375,4.71,38.0,23,7.0,1,2077,83.947,1,0,1,0.6090035930475
2024,CB,Secondary,Louisville,ACC,70.375,194,9.0,31.25,4.49,38.0,15,6.94,0,1688,72.759,0,0,1,0.6170283397415717
2023,EDGE,DL,Missouri,SEC,76.0,268,8.625,33.875,4.76,36.5,25,7.39,1,1470,59.03,0,0,1,0.42987859118004945
2023,P,Special Teams,Rutgers,Big Ten,73.0,187,8.75,29.375,4.83,34.0,20,7.27,0,1182,37.79,0,0,0,0.471319048439627
2023,DL,DL,Wisconsin,Big Ten,75.75,309,9.75,33.875,5.08,29.5,25,7.34,1,1706,60.996,0,0,1,0.5535120063797793
2025,RB,Skill,Kansas,Big 12,71.125,213,8.5,29.5,4.58,37.5,11,6.65,1,1625,66.926,0,0,1,0.4750569097617548
2023,QB,Skill,TCU,Big 12,73.5,207,9.875,31.375,4.52,30.5,20,7.26,1,1729,80.5,0,1,1,0.6450541339991692
2025,IOL,OL,Georgia,SEC,79.125,309,10.5,33.0,5.24,26.0,11,8.19,1,1998,82.861,1,0,0,0.5984095710910333
2023,TE,Skill,Purdue,Big Ten,77.625,253,9.75,33.375,4.87,34.5,21,7.42,1,1460,58.947,0,0,1,0.4883799952149917
2023,RB,Skill,East Carolina,AAC,67.875,179,9.25,30.75,4.37,38.0,20,7.33,1,1509,54.675,0,0,0,0.5973173862827886
2023,IOL,OL,Eastern Michigan,MAC,76.75,323,10.375,33.625,5.07,32.0,20,7.62,1,1400,38.544,0,0,1,0.45348801591241855
2023,WR,Skill,Nebraska,Big Ten,72.0,192,9.625,31.875,4.33,36.5,16,6.93,1,1532,40.694,0,0,1,0.6135703055668734
2023,TE,Skill,Clemson,ACC,77.875,245,10.0,32.25,4.84,38.5,21,6.92,1,1843,74.958,0,0,1,0.5914698975790135
2023,QB,Skill,Ohio St.,Big Ten,75.0,214,10.0,32.625,4.59,34.5,20,7.09,0,2107,88.337,0,1,1,0.7329542777298654
2023,OT,OL,Tennessee,SEC,77.0,333,9.0,33.75,5.01,29.0,20,7.6,1,2000,84.959,0,1,1,0.7505680470594334
2023,RB,Skill,UCLA,Pac-12,72.375,214,9.875,32.0,4.53,37.0,20,6.87,1,1684,65.594,0,0,1,0.4880306349676515
2024,RB,Skill,South Dakota St.,MVFC,72.25,218,10.25,31.125,4.57,34.5,23,7.02,1,1750,68.684,0,0,1,0.4445722106913192
2024,EDGE,DL,Michigan,Big Ten,75.75,250,9.75,33.25,4.68,37.0,23,7.33,1,2210,94.395,0,0,1,0.6671431593740306
2023,OT,OL,Utah,Pac-12,76.0,294,9.375,33.0,4.99,30.5,20,7.53,1,1915,79.905,0,0,1,0.5609854458987926
2024,WR,Skill,Washington,Pac-12,74.875,212,9.25,32.25,4.45,39.0,15,6.88,1,1879,82.666,0,1,1,0.7313520967494442
2023,IOL,OL,Florida,SEC,77.0,330,11.25,33.875,5.31,23.5,20,7.99,1,1581,60.994,0,0,1,0.4402732431312586
2023,C,OL,Oregon,Pac-12,76.0,303,10.25,32.75,5.24,20.5,20,8.08,1,1724,78.17,0,0,1,0.49623114002579877
2023,QB,Skill,UCLA,Pac-12,73.625,203,9.875,30.625,4.56,32.5,20,7.28,1,1684,65.594,0,0,1,0.47043946057210734
2023,OT,OL,Alabama,SEC,78.0,321,10.5,32.75,5.16,29.5,20,7.6,1,2181,89.526,1,0,1,0.6696452211025521
2023,LS,Special Teams,Central Florida,AAC,76.0,240,9.625,30.375,5.06,30.0,12,7.27,1,1551,61.732,0,0,0,0.4008942637226259
2025,QB,Skill,Lousiville,ACC,76.875,219,9.675,30.625,4.63,32.0,22,6.65,1,1809,79.476,0,0,1,0.5535982413720055
2025,QB,Skill,Florida,SEC,75.375,212,9.625,31.25,4.28,43.0,22,7.41,0,1767,71.717,0,0,1,0.6205621385150641
2025,IOL,OL,Alabama,SEC,76.625,321,11.0,34.5,5.38,27.0,21,7.96,1,1986,85.057,1,0,1,0.5923901164172849
2024,EDGE,DL,Alabama,SEC,75.375,251,9.375,33.25,4.6,33.5,23,7.33,1,2032,84.968,0,0,1,0.6135332276755237
2025,DL,DL,Texas,SEC,77.0,311,9.25,35.0,5.45,43.0,33,8.19,0,2042,88.25,0,0,1,0.6703315738090888
2025,LB,LB,Penn State,Big Ten,72.625,236,9.5,31.25,4.35,41.58,33,7.43,0,2063,81.11,0,0,1,0.6928478541631069
2023,DL,DL,Baylor,Big 12,74.875,335,10.25,32.375,5.39,28.0,26,7.8,1,1672,61.65,0,0,1,0.38019912428848485
2024,LB,LB,Indiana,Big Ten,72.875,231,9.375,32.75,4.75,30.0,16,7.24,1,1343,41.79,1,0,0,0.4677196138652359
2023,WR,Skill,SMU,AAC,73.0,204,9.5,32.75,4.51,41.0,17,6.94,1,1504,56.034,0,0,1,0.4818618293729741
2025,OT,OL,Purdue,Big Ten,76.125,303,10.5,32.0,4.28,34.4,11,8.19,1,1061,20.419,0,0,1,0.6024313962418532
2025,CB,Secondary,Rutgers,Big Ten,71.0,175,8.5,31.5,4.39,33.87,11,6.65,1,1533,55.405,0,0,1,0.6029025240029181
2023,QB,Skill,Alabama,SEC,70.125,204,9.75,30.125,4.6,33.5,20,7.07,0,2181,89.526,1,0,1,0.5390766719290739
2025,CB,Secondary,Florida,SEC,72.375,194,9.25,30.25,4.49,34.86,11,6.65,1,1767,71.717,0,0,1,0.5483000088093296
2025,OT,OL,Texas,SEC,77.75,317,11.375,34.5,4.28,43.0,33,8.19,0,2042,88.25,0,0,1,0.7437233130865158
2025,CB,Secondary,Kansas,Big 12,72.625,192,8.5,31.5,4.59,34.5,18,7.27,1,1625,66.926,0,0,0,0.4204198602552315
2023,QB,Skill,BYU,FBS Independent,72.0,207,9.5,29.75,4.6,34.0,20,7.08,0,1526,50.481,0,0,1,0.436610657044722
