Season,Player,Position,Position Group,Conference,Overall Pick,Actual Tier Number,Predicted Tier Number,Actual Tier,Predicted Tier,Correct,Ordinal Error,Prob Round 1,Prob Rounds 2-3,Prob Rounds 4-5,Prob Rounds 6-7,Prob Undrafted,Basic Prob Round 1,Basic Prob Rounds 2-3,Basic Prob Rounds 4-5,Basic Prob Rounds 6-7,Basic Prob Undrafted,Actual Target,Cumulative Targets Captured,Percent of Players Reviewed,Percent of Actual Targets Captured
2026,Carver Willis,OT,OL,Big Ten,127,2,3,Rounds 4-5,Rounds 6-7,Incorrect,1,0.039287356387436224,0.1216496494414632,0.20479580524702978,0.2504890080539402,0.3837781808701306,0.18781193522965814,0.2911803990110191,0.20762557121705905,0.1830852163788208,0.13029687816344293,0,24,24.104234527687296,28.915662650602407
2026,Alex Harkey,IOL,OL,Big Ten,206,3,3,Rounds 6-7,Rounds 6-7,Correct,0,0.039332987121226654,0.12176724787226331,0.20491291019307128,0.25049438410131064,0.3834924707121281,0.09684748850066503,0.20205211882582008,0.20507320671691298,0.25184268675237786,0.24418449920422403,0,24,24.429967426710096,28.915662650602407
2026,Max Bredeson,RB,Skill,Big Ten,159,2,3,Rounds 4-5,Rounds 6-7,Incorrect,1,0.039922745259074466,0.12328284686032664,0.2064109518001706,0.2505481502976316,0.3798353057827967,0.076510560798071,0.17126340720812122,0.19199862729660194,0.26536759421013584,0.29485981048707,0,24,24.7557003257329,28.915662650602407
2026,Evan Beerntsen,IOL,OL,Big Ten,253,3,3,Rounds 6-7,Rounds 6-7,Correct,0,0.040408445743755406,0.12452504327434469,0.2076233270494117,0.25057109026766045,0.37687209366482777,0.06276483822422992,0.1475002014871587,0.17793285111029092,0.27085759606443505,0.3409445131138854,0,24,25.0814332247557,28.915662650602407
2026,Brenen Thompson,WR,Skill,SEC,105,2,3,Rounds 4-5,Rounds 6-7,Incorrect,1,0.04067793699908051,0.12521195369714402,0.2082878082949873,0.2505757635603904,0.37524653744839775,0.09213500895651039,0.1953500384246229,0.2027174261462909,0.2553036365249378,0.254493889947638,0,24,25.407166123778502,28.915662650602407
2026,Deontae Lawson,LB,LB,SEC,300,4,3,Undrafted,Rounds 6-7,Incorrect,1,0.040799198896869386,0.12552050066462087,0.20858490853015663,0.25057602931997874,0.37451936258837437,0.10716113642250392,0.21587322202043463,0.2090647082855986,0.24390932055859094,0.22399161271287193,1,25,25.732899022801302,30.120481927710845
2026,Wesley Bissainthe,LB,LB,ACC,300,4,3,Undrafted,Rounds 6-7,Incorrect,1,0.04132430781803777,0.1268527711256156,0.2098580218783727,0.2505643006052303,0.37140059857274366,0.0883088178110804,0.18972195582277585,0.20052843642515905,0.25800094103517474,0.26343984890580996,1,26,26.058631921824105,31.32530120481928
2026,Tanner Koziol,TE,Skill,Big 12,164,3,3,Rounds 6-7,Rounds 6-7,Correct,0,0.04152940386472958,0.12737143171347062,0.2103493920520876,0.2505541491123012,0.37019562325741096,0.0716774482165911,0.16319635152124162,0.18761680178769777,0.2677884281680423,0.3097209703064272,0,26,26.384364820846905,31.32530120481928
2026,Reggie Virgil,WR,Skill,Big 12,143,2,3,Rounds 4-5,Rounds 6-7,Incorrect,1,0.04173117847691362,0.127880766399877,0.2108296114316541,0.25054117457169595,0.3690172691198593,0.1124278295241198,0.22250284943596738,0.21055998355139843,0.23974606205977878,0.21476327542873563,0,26,26.710097719869708,31.32530120481928
2026,Darrell Jackson Jr.,DL,DL,ACC,103,2,3,Rounds 4-5,Rounds 6-7,Incorrect,1,0.04221092034321587,0.1290880878518071,0.21195878195007337,0.2504986729640961,0.3662435368908076,0.0876031637291095,0.18866533213600115,0.20009604664506414,0.25848518247341656,0.26515027501640864,0,26,27.035830618892508,31.32530120481928
2026,Joe Fagnano,QB,Skill,FBS Independent,300,4,3,Undrafted,Rounds 6-7,Incorrect,1,0.042217938303161465,0.1291057109389278,0.21197516935548785,0.2504979314218187,0.36620324998060416,0.11036642671918291,0.21994142129904515,0.2100148652668376,0.2413811670405599,0.21829611967437446,1,27,27.36156351791531,32.53012048192771
2026,Dillon Wade,IOL,OL,SEC,300,4,3,Undrafted,Rounds 6-7,Incorrect,1,0.04245873077848537,0.12970970636754497,0.21253516767972852,0.250470431203835,0.3648259639704061,0.05957282380298592,0.14160902897279748,0.17389701044418485,0.271376058157845,0.35354507862218676,1,28,27.68729641693811,33.734939759036145
2026,Gabe Jacas,EDGE,DL,Big Ten,55,1,3,Rounds 2-3,Rounds 6-7,Incorrect,2,0.04262571310926099,0.13012779725968873,0.21292093206446192,0.2504490357808471,0.36387652178574126,0.140707084488657,0.25360578095570374,0.21375934298220872,0.21730288317815027,0.17462490839528022,0,28,28.013029315960914,33.734939759036145
2026,Luke Altmyer,QB,Skill,Big Ten,300,4,3,Undrafted,Rounds 6-7,Incorrect,1,0.04263890384867466,0.13016079772309277,0.21295131586315863,0.25044726530571787,0.36380171725935606,0.15699578827100674,0.26842912211423914,0.21285184905209342,0.20487578933866812,0.15684745122399257,1,29,28.338762214983714,34.93975903614458
2026,Harrison Wallace III,WR,Skill,SEC,300,4,3,Undrafted,Rounds 6-7,Incorrect,1,0.042757809912016644,0.13045810043891218,0.21322461599669712,0.25043077829829485,0.3631286953540792,0.13978757003711936,0.252705472681068,0.2137602651592284,0.21801992437953244,0.17572676774305174,1,30,28.664495114006517,36.144578313253014
2026,Xavian Sorey,LB,LB,SEC,300,4,3,Undrafted,Rounds 6-7,Incorrect,1,0.0433045669699494,0.13182111224859566,0.21446772485064153,0.2503429410377355,0.3600636548930779,0.06972912571138037,0.15985745501865375,0.18568564205661447,0.2686313224322468,0.3160964547811046,1,31,28.990228013029316,37.34939759036144
2026,Austin Barber,OT,OL,SEC,86,1,3,Rounds 2-3,Rounds 6-7,Incorrect,2,0.04359963442303678,0.13255392848555084,0.2151294062318578,0.2502875128005833,0.3584295180589713,0.1794782606073776,0.2856594804652334,0.20939519856906785,0.1887396039987802,0.13672745635954098,0,31,29.31596091205212,37.34939759036144
2026,VJ Payne,SAF,Secondary,Big 12,228,3,3,Rounds 6-7,Rounds 6-7,Correct,0,0.04446508960865428,0.13469224231540458,0.21703365037279804,0.2500937576683029,0.3537152600348402,0.05946782703536601,0.1414127566522563,0.173758730576315,0.2713867984436595,0.3539738872924032,0,31,29.64169381107492,37.34939759036144
2026,Treydan Stukes,SAF,Secondary,Big 12,38,1,3,Rounds 2-3,Rounds 6-7,Incorrect,2,0.044573264697024856,0.13495835628501485,0.21726788427941637,0.25006636603472204,0.3531341287038219,0.05946782703536601,0.1414127566522563,0.173758730576315,0.2713867984436595,0.3539738872924032,0,31,29.967426710097723,37.34939759036144
2026,Zxavian Harris,DL,DL,SEC,300,4,3,Undrafted,Rounds 6-7,Incorrect,1,0.044739366763404745,0.13536647308232735,0.21762593128738242,0.25002296986902295,0.3522452589978625,0.16001939217065178,0.27095588504505996,0.21251875413541943,0.2026331659391477,0.15387280270972115,1,32,30.293159609120522,38.55421686746988
2026,Chase Roberts,WR,Skill,Big 12,300,4,3,Undrafted,Rounds 6-7,Incorrect,1,0.04529435229347569,0.13672571166029637,0.21880815645487883,0.2498664583616193,0.3493053212297298,0.07330718096218752,0.1659506147111163,0.18915790202292046,0.2670215480615786,0.30456275424219714,1,33,30.618892508143325,39.75903614457831
