Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2025,CB,Secondary,Iowa State,Big 12,74.875,195,9.0,80.0,4.3,36.5,11,131.0,6.71,4.04,1,10.15,66.812,63.385,63.427,52.51,0,0,Rounds 2-3,0,0.27868248870988077,18,33.057851239669425,38.297872340425535
2025,WR,Skill,Oregon,Big Ten,74.125,205,9.75,78.5,4.57,32.0,12,123.0,7.04,4.54,1,21.125,85.854,85.403,73.779,53.859,1,0,Undrafted,0,0.2785077813599711,18,33.47107438016529,38.297872340425535
2024,WR,Skill,USC,Pac-12,74.375,208,9.625,78.0,4.5,36.5,13,119.0,6.86,4.12,1,13.091,69.753,82.697,42.068,66.367,0,0,Rounds 6-7,0,0.2784704880865615,18,33.88429752066116,38.297872340425535
2025,CB,Secondary,Colorado,Big 12,72.375,188,9.125,76.875,4.43,43.0,12,105.0,8.19,4.94,0,12.691,74.938,72.644,69.84,45.06,0,1,Round 1,0,0.27818854441008234,18,34.29752066115703,38.297872340425535
2025,WR,Skill,Georgia,SEC,72.125,179,9.0,77.0,4.36,38.0,20,127.0,6.82,4.19,1,22.091,82.861,79.935,73.308,59.572,1,0,Rounds 4-5,1,0.27748615641558716,19,34.710743801652896,40.42553191489361
2024,WR,Skill,Pittsburgh,ACC,73.0,212,10.125,79.375,4.43,39.5,19,122.0,6.85,4.1,1,-0.369,43.622,32.282,60.013,38.896,0,0,Rounds 6-7,0,0.2770004569877763,19,35.12396694214876,40.42553191489361
2024,LB,LB,Michigan,Big Ten,74.25,238,9.375,77.5,4.62,34.5,18,119.0,7.4,4.38,0,27.625,94.395,88.226,91.352,54.858,0,0,Rounds 2-3,0,0.2764441970113312,19,35.53719008264463,40.42553191489361
2024,S,Secondary,Minnesota,Big Ten,73.25,199,9.0,77.5,4.52,37.0,14,124.0,7.01,4.98,0,-0.564,45.156,45.237,46.429,51.196,0,1,Rounds 2-3,0,0.276187253006122,19,35.9504132231405,40.42553191489361
2025,CB,Secondary,UCF,Big 12,70.25,191,8.375,72.625,4.41,43.0,15,123.2,6.9,4.03,1,5.283,53.294,60.369,50.721,32.002,0,0,Rounds 4-5,1,0.276058469656962,20,36.36363636363637,42.5531914893617
2025,RB,Skill,Arizona State,Big 12,69.5,219,9.375,73.875,4.65,39.5,17,123.0,7.37,4.97,1,11.793,78.233,79.692,66.688,47.348,0,0,Rounds 4-5,1,0.2759002791025812,21,36.77685950413223,44.680851063829785
