Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,CFP Appearance,National Award,Actual,Predicted Probability
2023,OT,OL,Arkansas,SEC,80.0,320,10.5,34.375,83.25,5.24,24.5,20,102.0,7.61,4.68,1,1686,6.93,62.299,69.2,48.112,56.255,0,0,0,0.4652831254222392
2025,QB,Skill,Notre Dame,FBS Independent,75.75,216,9.5,31.5,77.125,4.28,43.0,22,93.0,8.19,4.97,0,2154,25.305,88.314,78.053,88.226,42.499,0,0,1,0.6872095502999812
2023,IOL,OL,Mississippi,SEC,76.0,305,9.75,32.5,76.625,5.27,29.0,20,108.0,7.75,4.7,1,1634,12.342,68.271,72.487,57.125,45.454,0,0,1,0.4314840481139719
2024,S,Secondary,Wake Forest,ACC,70.125,209,9.0,30.125,72.5,4.53,37.5,22,128.0,6.9,4.48,1,1397,-1.563,44.613,38.193,52.655,52.027,0,0,1,0.5970384366999365
2024,OT,OL,BYU,Big 12,76.625,326,10.625,34.25,82.125,5.04,28.0,30,110.0,8.03,4.58,1,1364,-1.805,52.478,36.286,62.31,60.603,0,1,1,0.6091758711747928
2024,S,Secondary,Washington St.,Pac-12,73.875,211,9.375,31.5,76.25,4.55,37.5,16,122.0,6.88,4.37,1,1546,3.221,62.169,54.667,62.054,59.872,0,0,1,0.5149659412722414
2023,P,Special Teams,Tennessee,SEC,77.25,201,9.75,31.5,78.75,4.83,34.0,20,109.0,7.27,4.44,0,2000,22.728,84.959,90.062,58.984,68.61,0,0,0,0.5532501409165604
2024,CB,Secondary,Oregon St.,Pac-12,71.25,184,8.75,30.5,71.625,4.44,37.0,15,126.0,6.94,4.36,0,1722,13.996,79.392,79.074,67.781,54.727,0,0,0,0.6607837793348917
2025,RB,Skill,Boise State,Mountain West,68.5,211,9.25,29.25,72.75,4.58,34.92,11,111.8,7.11,4.97,0,1764,10.993,75.687,78.889,64.483,42.529,0,1,1,0.488565601865762
2025,CB,Secondary,Ole Miss,SEC,72.75,195,9.0,31.25,77.75,4.43,32.5,13,126.0,8.19,4.97,1,2007,20.608,84.235,76.596,81.866,47.73,1,0,1,0.6147699497664686
2024,TE,Skill,TCU,Big 12,78.125,249,9.5,33.25,79.25,4.62,37.0,28,118.0,7.19,4.33,1,1631,9.511,59.244,64.411,51.426,45.245,0,0,1,0.3841676225153871
2023,WR,Skill,Oklahoma,Big 12,70.875,183,9.0,31.625,74.75,4.38,39.5,14,129.0,6.9,4.29,1,1662,9.969,66.271,71.907,54.872,48.16,0,0,1,0.6779781777513726
2025,IOL,OL,West Virginia,Big 12,78.5,313,10.25,32.125,79.5,5.27,30.0,33,108.0,8.19,4.69,1,1455,1.795,52.984,64.597,35.526,62.429,0,0,1,0.40590493900230273
