Season,Position,Position Group,School,Conference,Height (inches),Weight(lbs),Hand (inches),Arm (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,ELO,FPI,Efficiencies Overall,Efficiencies Offense,Efficiencies Defense,Efficiencies SpecialTeams,Log Rank,CFP Appearance,National Award,Actual Draft Round,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Round Captured
2023,WR,Skill,Maryland,Big Ten,71.25,201,8.625,31.625,76.75,4.42,33.0,20,127.0,7.01,4.47,1,1645,7.842,61.934,61.039,57.849,51.968,0.0,0,0,Undrafted,0,0.144485478707855,39,56.611570247933884,100.0
2025,RB,Skill,North Carolina,ACC,71.75,221,9.375,30.5,74.75,4.46,38.0,18,130.0,6.75,4.4,1,1496,2.602,50.555,55.402,46.067,47.749,5.4681,0,0,Round 1,0,0.14418002793308865,39,57.02479338842975,100.0
2025,OT,OL,NC State,ACC,78.0,336,10.25,33.75,83.125,5.26,29.5,11,107.0,7.77,4.03,1,1502,0.43,43.632,41.325,49.036,47.981,5.323,0,0,Round 2,0,0.1438732907352782,39,57.438016528925615,100.0
2023,IOL,OL,LSU,SEC,76.0,332,9.5,33.5,80.375,5.08,30.0,20,106.0,7.84,4.8,1,1871,17.436,78.295,78.649,74.431,26.438,5.0173,0,0,Round 4,0,0.1438607457448871,39,57.85123966942148,100.0
2023,CB,Secondary,Syracuse,ACC,70.0,192,9.25,31.0,74.5,4.46,36.5,13,127.0,6.76,4.29,0,1464,5.084,59.708,56.419,61.005,44.497,5.2311,0,0,Round 3,0,0.14367858500194783,39,58.26446280991735,100.0
2024,LB,LB,North Carolina,ACC,73.5,234,9.0,32.5,78.375,4.64,35.5,17,120.0,7.31,4.71,1,1569,10.237,64.036,77.006,45.498,43.228,5.0304,0,0,Round 4,0,0.1435147837177315,39,58.67768595041323,100.0
2023,IOL,OL,Alabama,SEC,74.625,314,9.5,33.875,82.625,5.21,29.0,20,107.0,7.77,4.76,0,2181,27.296,89.526,85.539,81.093,61.676,0.0,1,0,Undrafted,0,0.14334877252854153,39,59.09090909090909,100.0
2023,IOL,OL,Mississippi,SEC,76.0,305,9.75,32.5,76.625,5.27,29.0,20,108.0,7.75,4.7,1,1634,12.342,68.271,72.487,57.125,45.454,3.3673,0,0,Undrafted,0,0.14270343623880047,39,59.50413223140496,100.0
2025,EDGE,DL,Ohio State,Big Ten,76.25,260,9.625,31.625,77.125,4.28,24.5,33,138.0,8.19,4.03,0,2211,24.823,87.333,80.443,83.601,49.523,4.9127,1,0,Round 4,0,0.14240060483394856,39,59.917355371900825,100.0
2024,S,Secondary,Minnesota,Big Ten,73.25,199,9.0,32.0,77.5,4.52,37.0,14,124.0,7.01,4.98,0,1488,-0.564,45.156,45.237,46.429,51.196,5.3566,0,1,Round 2,0,0.14229646080509292,39,60.33057851239669,100.0
