Season,Position,Position Group,Conference,Height (inches),Weight(lbs),Hand (inches),Wingspan (inches),40-Yard Dash (seconds),Vertical (inches),Bench (reps),Broad Jump (inches),3-Cone (seconds),Shuttle (seconds),Combine Participation,FPI,Efficiencies Overall,CFP Appearance,National Award,Actual Draft Tier,Actual Target,Predicted Probability,Cumulative Actual Captured,Percent of Players Reviewed,Percent of Actual Tier Captured
2023,EDGE,DL,Sun Belt,74.25,236,9.5,80.625,4.58,35.5,23,120.0,7.07,4.45,1,0.411,45.95,0,0,Rounds 6-7,0,0.27121726279104486,43,47.93388429752066,65.15151515151516
2024,CB,Secondary,Pac-12,69.75,184,9.125,72.375,4.54,34.5,18,125.0,7.05,4.32,1,3.221,62.169,0,0,Rounds 4-5,0,0.27103866409380184,43,48.34710743801653,65.15151515151516
2023,EDGE,DL,ACC,76.0,238,8.625,78.875,4.61,34.5,22,123.0,7.22,4.45,1,6.195,60.099,0,0,Undrafted,1,0.2705961665119344,44,48.760330578512395,66.66666666666666
2023,WR,Skill,ACC,69.0,179,9.25,73.375,4.48,38.5,13,131.0,6.91,4.29,1,6.195,60.099,0,0,Rounds 2-3,0,0.27029347232678325,44,49.17355371900827,66.66666666666666
2024,WR,Skill,ACC,73.0,212,10.125,79.375,4.43,39.5,19,122.0,6.85,4.1,1,-0.369,43.622,0,0,Rounds 6-7,0,0.2650763439760895,44,49.586776859504134,66.66666666666666
2024,DL,DL,ACC,75.5,303,9.0,80.625,5.12,30.0,27,109.0,7.81,4.75,1,11.169,68.436,0,0,Undrafted,1,0.2645340952433012,45,50.0,68.18181818181817
2025,RB,Skill,Big Ten,69.5,205,9.5,73.75,4.55,37.18,33,115.6,7.03,4.03,1,21.125,85.854,1,0,Rounds 4-5,0,0.26258152658201617,45,50.413223140495866,68.18181818181817
2023,WR,Skill,Big Ten,71.25,201,8.625,76.75,4.42,33.0,20,127.0,7.01,4.47,1,7.842,61.934,0,0,Undrafted,1,0.2616165497781202,46,50.82644628099173,69.6969696969697
2023,CB,Secondary,SEC,73.75,207,8.5,74.125,4.36,33.5,15,122.0,6.89,4.3,1,29.908,93.511,0,0,Rounds 4-5,0,0.2595443017103889,46,51.2396694214876,69.6969696969697
2024,IOL,OL,MVFC,76.25,309,10.0,81.625,5.08,35.5,31,117.0,7.59,4.45,1,12.286,67.318,0,0,Rounds 4-5,0,0.25940691880348654,46,51.652892561983464,69.6969696969697
2025,CB,Secondary,CAA,73.25,209,9.5,78.125,4.56,32.92,11,124.0,6.65,4.97,1,10.737,66.313,0,0,Undrafted,1,0.25782102453971256,47,52.066115702479344,71.21212121212122
2023,DL,DL,SEC,77.625,310,9.5,80.875,4.88,31.0,22,110.0,7.5,4.73,1,7.555,60.994,0,0,Rounds 2-3,0,0.25720400855849224,47,52.47933884297521,71.21212121212122
